字號,字,頻次
3697,胎,272
3698,孡,212
3700,台,208
3702,𧉟,1
3704,孩,230
3705,咳,51
3706,頦,5
3712,鰓,187
3716,顋,19
3720,皚,1
3724,隑,3
3726,獃,203
3730,懛,17
3733,真,339
3734,甄,3
3735,振,1
3737,稹,1
3744,唇,19
3753,因,298
3754,茵,14
3755,鞇,1
3762,氤,1
3763,絪,1
3768,洇,79
3769,姻,176
3770,婣,133
3776,新,382
3777,辛,195
3778,薪,178
3779,辰,178
3780,晨,207
3781,䢅,144
3783,宸,1
3789,臣,205
3792,仁,232
3794,人,389
3795,神,298
3797,親,299
3798,寴,238
3799,𡪔,238
3803,申,195
3804,伸,223
3805,紳,9
3806,娠,134
3807,呻,17
3808,𣢘,1
3809,𠲳,1
3815,身,302
3819,賓,291
3820,𧶉,234
3821,濱,28
3822,檳,153
3825,儐,1
3829,㷠,123
3830,燐,131
3831,鄰,260
3832,轔,1
3833,嶙,1
3834,粼,2
3835,磷,26
3837,麟,48
3838,麐,44
3839,鱗,249
3847,壣,1
3851,潾,1
3857,珍,211
3860,陳,330
3861,敶,276
3864,塵,213
3865,津,211
3866,𦪉,164
3870,瞋,2
3871,嗔,1
3872,謓,1
3876,秦,209
3879,寅,176
3880,夤,1
3885,紉,8
3886,繽,9
3891,頻,187
3892,蘋,5
3893,薲,3
3894,嬪,1
3905,銀,270
3906,㹞,1
3907,狺,1
3921,巾,271
3922,麏,1
3923,麇,1
3924,麕,1
3926,莙,1
3928,筠,3
3940,岷,2
3942,閩,177
3943,緡,1
3946,旻,1
3950,汶,1
3951,㨉,1
3958,貧,326
3959,𡧋,270
3967,彬,165
3968,斌,24
3969,份,30
3980,民,294
3983,泯,3
3985,諄,13
3986,惇,1
3988,肫,97
3990,椿,142
4000,荀,154
4002,詢,12
4008,恂,1
4014,純,264
4016,蒓,83
4017,醇,151
4018,鶉,2
4023,淳,2
4031,脣,189
4036,淪,155
4037,倫,195
4038,論,1
4040,輪,222
4043,蜦,2
4045,綸,2
4047,侖,20
4049,掄,4
4056,竣,14
4057,皴,53
4065,遵,284
4070,春,381
4072,勻,256
4074,旬,196
4075,𠣙,142
4076,巡,223
4077,馴,11
4078,循,219
4092,均,259
4093,鈞,174
4100,臻,144
4101,蓁,6
4105,𣓀,105
4106,榛,120
4107,樼,103
4111,莘,8
4134,文,229
4135,聞,223
4136,𦖫,132
4138,紋,180
4139,雯,4
4141,蟁,280
4142,蚊,324
4143,䘇,281
4144,䰚,1
4149,閩,6
4150,雲,324
4152,蕓,2
4153,𦔐,2
4154,𦓷,2
4155,耘,3
4158,紜,1
4161,云,176
4164,員,1
4165,𪔅,1
4182,汾,6
4183,墳,284
4184,氛,1
4190,焚,163
4191,燌,138
4193,豶,42
4202,棼,1
4216,鼢,1
4217,蚡,1
4219,分,429
4222,扮,4
4225,羣,225
4226,帬,256
4227,裠,275
4230,薰,210
4231,曛,1
4232,勳,212
4233,勛,233
4234,熏,244
4235,燻,196
4238,醺,2
4239,葷,188
4242,君,229
4243,軍,301
4244,皸,1
4247,莙,1
4250,芬,188
4251,紛,206
4256,棻,1
4259,氛,4
4260,雰,1
4263,欣,212
4264,忻,149
4265,昕,3
4266,訢,1
4269,殷,203
4273,勤,301
4274,芹,188
4282,斤,315
4283,筋,262
4284,䈥,203
4290,齗,1
4291,齦,9
4298,元,299
4299,原,279
4301,源,202
4302,𠫐,138
4305,沅,2
4307,黿,2
4311,芫,3
4318,阮,4
4320,袁,201
4321,爰,2
4322,垣,9
4324,園,240
4325,援,184
4327,轅,160
4329,媛,3
4333,蝯,1
4334,猨,1
4335,猿,32
4336,煩,267
4337,番,1
4338,𨆌,1
4339,蹯,1
4340,繁,190
4343,樊,5
4352,蟠,4
4353,蕃,6
4355,礬,151
4359,璠,1
4373,藩,112
4374,飜,248
4375,翻,314
4377,番,191
4378,幡,4
4384,藩,6
4385,暄,1
4388,萱,13
4391,塤,1
4392,壎,1
4396,喧,166
4404,鴛,7
4405,冤,304
4415,怨,1
4422,言,381
4429,軒,183
4430,掀,239
4441,犍,48
4447,蔫,89
4448,焉,2
4449,蕃,24
4450,藩,136
4458,䰟,215
4462,餛,129
4463,餫,117
4467,渾,221
4481,琿,1
4482,昆,209
4483,晜,4
4484,𥊽,4
4488,崐,161
4489,琨,126
4490,鵾,1
4491,鶤,1
4492,鯤,2
4497,錕,1
4503,溫,283
4507,殟,1
4515,門,343
4516,捫,1
4519,璊,1
4528,孫,278
4529,蓀,5
4532,猻,16
4534,尊,296
4535,罇,237
4536,樽,239
4539,存,225
4540,蹲,152
4544,敦,198
4548,驐,6
4549,墩,255
4552,燉,7
4558,屯,217
4559,豚,130
4560,㹠,99
4561,豘,99
4563,臀,133
4564,𡱂,126
4565,𦞠,126
4566,𩪡,126
4568,飩,134
4571,沌,1
4572,邨,1
4573,燉,3
4580,村,342
4585,盆,271
4589,奔,208
4592,犇,1
4593,論,127
4594,崘,160
4595,掄,2
4597,坤,221
4598,𡿦,160
4599,髡,6
4604,昏,294
4606,婚,240
4611,濆,125
4612,噴,162
4615,痕,296
4619,根,313
4620,跟,210
4621,𣥦,156
4623,恩,376
4626,吞,387
4630,寒,366
4631,𩏑,187
4635,邯,9
4645,單,326
4647,鄲,5
4648,丹,225
4653,癉,2
4655,安,363
4657,鞌,184
4660,難,347
4661,𪅀,275
4662,𩁢,276
4663,𩁚,276
4664,餐,275
4665,湌,231
4667,灘,207
4669,嘆,1
4673,攤,307
4678,跚,8
4679,珊,164
4680,姍,7
4682,壇,202
4683,檀,183
4687,彈,318
4690,但,1
4697,殘,274
4700,戔,1
4704,干,184
4705,乾,225
4706,漧,166
4707,竿,182
4708,肝,331
4709,奸,76
4720,蘭,320
4721,瀾,13
4722,闌,9
4723,讕,1
4724,攔,207
4728,欄,198
4731,㘓,12
4732,看,166
4733,𥉏,124
4734,栞,1
4735,𣓁,1
4738,刊,189
4740,鼾,150
4742,桓,133
4743,完,311
4746,丸,249
4748,紈,2
4758,莞,1
4773,刓,1
4783,端,305
4794,剜,105
4796,豌,179
4797,蜿,1
4798,帵,1
4802,湍,12
4808,酸,393
4813,團,361
4823,摶,1
4834,官,395
4837,棺,161
4838,觀,195
4840,冠,177
4842,倌,1
4844,鑾,32
4845,鸞,177
4846,巒,5
4847,欒,1
4852,臠,1
4853,灤,1
4858,歡,360
4859,懽,247
4866,獾,2
4871,寬,356
4873,鑽,210
4879,槃,289
4880,盤,360
4881,鎜,272
4882,柈,272
4883,瘢,6
4884,磻,3
4886,磐,4
4888,般,7
4897,蟠,1
4902,瞞,215
4903,顢,2
4904,謾,1
4906,䊡,143
4907,饅,160
4908,慲,1
4913,鞔,1
4915,鰻,29
4916,曼,5
4917,蔓,7
4926,潘,315
4933,般,361
4936,刪,200
4937,訕,4
4938,潸,1
4941,關,435
4942,関,304
4947,彎,340
4948,灣,191
4952,𣠯,274
4953,還,394
4954,環,271
4956,鬟,1
4957,寰,1
4973,班,383
4974,頒,178
4978,斑,209
4979,辬,149
4981,般,7
4984,扳,188
4986,蠻,277
4989,鬘,1
4993,顏,307
4995,姦,324
4996,菅,3
4999,攀,229
5000,扳,102
5004,頑,285
5009,山,388
5010,疝,6
5012,鰥,140
5015,閒,404
5016,艱,204
5017,囏,145
5021,閑,329
5023,癇,1
5027,鷳,2
5030,慳,2
5039,潺,10
5040,孱,4
5047,𤡥,1
5057,斕,2
5074,先,345
5078,前,305
5079,歬,213
5084,千,312
5086,阡,2
5089,芊,1
5093,箋,187
5094,牋,146
5095,㮍,147
5100,湔,1
5108,天,320
5109,𠀘,292
5110,䒶,292
5114,堅,208
5119,肩,331
5128,鰹,1
5131,賢,236
5132,臤,189
5133,弦,204
5134,絃,174
5135,舷,29
5136,胘,1
5146,痃,1
5149,煙,278
5150,烟,222
5151,𡨾,212
5152,𤎟,212
5153,燕,120
5154,咽,10
5157,湮,2
5158,胭,22
5160,閼,1
5161,蓮,301
5162,憐,226
5163,怜,159
5169,田,293
5173,填,257
5174,窴,202
5178,鈿,7
5185,滇,5
5189,秊,281
5190,年,399
5191,𨛲,1
5192,顛,303
5193,㒹,243
5194,齻,1
5197,瘨,3
5198,癲,28
5201,巔,15
5207,牽,315
5217,妍,9
5219,研,224
5220,𥓋,162
5225,眠,228
5226,瞑,7
5229,𥌂,1
5236,駢,4
5238,胼,1
5244,淵,196
5245,𠝃,144
5246,囦,149
5254,涓,15
5256,蠲,1
5259,鵑,16
5267,邊,314
5268,籩,1
5271,蝙,151
5274,編,10
5281,玄,192
5282,縣,216
5283,懸,258
5284,眩,27
5287,玆,9
5289,𥌭,1
5292,胘,2
5297,仙,302
5298,僊,242
5299,㒨,242
5304,秈,2
5305,鮮,227
5306,硟,73
5307,鱻,85
5309,錢,364
5311,遷,295
5312,𨙙,239
5313,𠨧,239
5317,韆,14
5319,煎,315
5320,湔,1
5323,然,317
5324,燃,236
5332,延,256
5334,筵,147
5338,蜒,3
5347,旃,1
5348,旜,1
5350,氈,162
5359,驙,1
5360,鱣,3
5361,𩼼,2
5367,羶,80
5369,挻,5
5370,扇,66
5371,煽,18
5377,鏈,1
5380,單,4
5381,蟬,211
5385,禪,164
5387,嬋,7
5388,纏,362
5389,緾,241
5401,嫣,1
5403,連,314
5404,聮,206
5405,漣,3
5407,鰱,8
5410,鏈,4
5416,篇,199
5417,偏,296
5418,翩,14
5421,扁,1
5423,便,250
5424,緶,1
5426,平,1
5432,緜,5
5433,綿,188
5434,棉,347
5449,全,355
5450,仝,242
5451,泉,258
5456,宣,254
5463,瑄,1
5466,鐫,2
5467,鋑,1
5485,穿,326
5486,川,189
5488,沿,215
5489,㳂,152
5490,鉛,236
5491,鈆,156
5493,捐,207
5494,鳶,1
5496,緣,267
5500,旋,188
5506,㳬,1
5507,琁,1
5508,璇,8
5517,娟,22
5524,船,335
5525,舩,281
5526,鞭,323
5529,編,220
5532,㳄,128
5533,涎,143
5534,詮,2
5535,銓,3
5536,硂,1
5537,痊,12
5541,筌,1
5547,荃,3
5552,拴,3
5553,專,219
5554,甎,291
5560,膞,40
5566,篅,6
5567,圌,6
5573,員,204
5574,圜,277
5575,圓,366
5576,湲,2
5581,栓,4
5585,乾,205
5586,虔,163
5587,犍,71
5593,揵,69
5594,愆,9
5598,褰,1
5599,騫,1
5604,權,308
5605,拳,329
5608,顴,137
5613,𤷄,1
5622,鬈,1
5625,蜷,1
5626,捲,3
5627,椽,96
5628,傳,336
5629,攣,2
5634,棬,268
5637,焉,25
5639,蔫,80
5641,鄢,1
5644,焉,128
5650,蕭,266
5651,簫,183
5653,蟰,1
5667,佻,1
5668,挑,288
5677,貂,173
5680,刁,233
5682,凋,13
5685,雕,208
5686,鵰,146
5688,彫,14
5699,迢,6
5700,條,354
5703,跳,202
5709,苕,2
5711,調,206
5712,鮡,2
5721,驍,4
