,IPA,beh-oe-ji,jyutping,other,pinyin,quoc ngu,romaja,romaji
ʒ,0.0001025333274685533,-2.0351852827157823e-05,-3.437002276411453e-05,-3.395635238977636e-05,-1.911991004768321e-06,-2.7015543841492407e-07,-2.437007935562218e-06,-0.00014263561443579568
ʔ,0.009040418089594824,-0.011624866338699708,-0.015432693657206144,-0.0037265706837347166,-0.008968225350874296,-0.010184452106169913,-0.01023574744531736,-0.009523985545251043
ʝ,7.478349198800694e-05,-6.264794845529931e-06,-0.0004470877434448293,-2.696381057748923e-05,-6.606980197504314e-07,1.424580218237031e-07,-1.056989219401065e-06,-7.29742400994332e-06
ʡ,0.00016714172698892982,-1.4682939252831948e-05,-0.000779836050543448,-6.219320701087064e-05,-1.5361922198044488e-06,-1.2205281332365457e-07,-2.3465690489301494e-06,-1.0231241569506722e-05
ʰ,0.006195943945749953,-0.010614032592371191,-0.008578897122186725,0.0022831406085143183,-0.002768716550053375,-0.0031131949191238826,-0.003997944620232529,-0.004560411751660182
ʷ,-0.0012545857274222517,8.478609049974867e-05,-4.0567928592585624e-05,0.0008822735802571808,-1.4049803877004e-06,7.819830356137472e-08,-6.460975655983577e-06,-0.00013897999291299733
ː,-0.007930666628819522,0.0005604642001585783,-0.0002957035062318132,0.01136117569107121,-1.0245940968170957e-05,1.334189636156419e-06,-0.00020532302486753553,-0.0008801746011009064
˞,1.0727046016128934e-05,-4.014390293741889e-06,-4.000416169176259e-06,-3.12480191833772e-06,-1.5698077785494803e-07,-1.6713607042310994e-08,-2.1311500378304366e-07,-1.211802946541724e-06
ˤ,0.002362571591056016,-0.00027062165111828534,-0.0004976334414646032,-0.0006232930538780015,-3.3506723996569226e-06,3.915506500770075e-05,0.000907184139151158,8.298929422399014e-05
̃,-0.00374260851894463,-0.0015334067547159089,-0.002270737155880268,0.005141608142494003,-2.1942832302089283e-05,-1.4441394926982738e-05,-0.00016515067790808118,-0.00023541832111498068
̆,2.116995581216414e-05,-2.2728052413563683e-05,-1.7235146708514832e-06,-9.921722141807809e-06,-6.903564880522661e-08,-4.2446353372908285e-08,-4.4198706596753085e-07,-8.234841390381498e-07
̊,1.8403366307315613e-05,-2.0710422861162528e-06,-7.766864457631881e-06,-4.562851405721044e-06,-2.5511345685709464e-08,-1.4986771767326978e-07,5.512054566841866e-06,1.86737942775563e-06
̥,-6.228383902445423e-05,1.0951018929523416e-06,-6.790821695547168e-05,0.00021341794165040577,-8.835316973843524e-07,1.6646702705270996e-06,9.543185274367334e-05,6.268870879460053e-06
̩,-0.0005609514725690182,-5.453256276058195e-05,-6.377272478400591e-05,0.0007389021389681876,-1.2843766783235118e-06,-5.250514890295953e-07,-1.1557574698411826e-05,-1.2150116321397214e-05
̯,8.970273706694363e-05,-1.4823217197388156e-05,-2.9424403176915537e-05,2.7896600821146834e-05,-2.1547085895315467e-06,-7.259264613012052e-08,-1.139511829974853e-06,-0.00025800823967170376
ͯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
