id,字形,方言點,聲母,韻母,調值,調類,備註
10517,耳,長治,0,ər,535,上聲,
10517,耳,長子,0,̩l,324,上聲,
10517,耳,高平,0,̩l,535,上聲,
10517,耳,陵川,l,ə,213,上聲,
10517,耳,朔州,0,ər,312,陰平上,
10517,耳,代縣,0,ər,213,陰平上,
10517,耳,五寨,0,ər,213,上聲,
10517,耳,五台,0,ər,214,陰平上,
10517,耳,忻州,0,ər,313,陰平上,
10517,耳,天鎮,0,ər,54,上聲,
10517,耳,大同,0,ər,54,上聲,
10517,耳,山陰,0,ər,52,上聲,
10517,耳,平定,0,ər,53,上聲,
10517,耳,和順,0,̩l,35,上聲,
10517,耳,晉城,0,ar,213,陽平上,
10517,耳,陽城,0,ər,31,上聲,
10522,里,太原,l,i,53,上,
10523,裏,太原,l,i,53,上,
10524,鯉,太原,l,i,53,上,
10526,李,太原,l,i,53,上,
10528,理,太原,l,i,53,上,
10539,始,太原,s,ɿ,53,上,
10543,痔,太原,ts,ɿ,45,去,
10549,起,太原,tɕʰ,i,53,上,
10555,士,太原,s,ɿ,45,去,
10567,子,太原,ts,ɿ,53,上,
10583,齒,太原,tsʰ,ɿ,53,上,
10585,恥,太原,tsʰ,ɿ,53,上,
10598,,太原,n,i,53,上,
10600,尾,太原,0/v,i/ei,53,上,"文,白"
10614,豈,太原,tɕʰ,i,11,平,
10617,幾,太原,tɕ,i,53,上,
10627,匪,太原,f,ei,53,上,
10638,偉,太原,v,ei,53,上,
10640,葦,太原,v,ei,53,上,
10648,鬼,婁煩,k,uei,213,上聲,
10648,鬼,太原,k,uei,53,上聲,
10648,鬼,清徐,k,y,53,上聲,
10648,鬼,文水,k,ue,423,上聲,
10648,鬼,太谷,k,uei,323,上聲,
10648,鬼,祁縣,k,uei,21,上聲,
10648,鬼,平遙,k,uei,53,上聲,
10648,鬼,孝義,k,uei,312,上聲,
10648,鬼,臨縣,k,uei,312,上聲,
10648,鬼,離石,k,uɛi,312,上聲,
10648,鬼,汾陽,k,uei,312,上聲,
10648,鬼,嵐縣,k,uei,213,上聲,
10648,鬼,石樓,k,uei,413,上聲,
10648,鬼,隰縣,k,uei,31,上聲,
10648,鬼,汾西,k,uei,33,上聲,
10648,鬼,沁縣,k,uei,33,陽平,
10648,鬼,平順,k,uei,424,上聲,
10648,鬼,長治,k,uei,535,上聲,
10648,鬼,長子,k,uei,324,上聲,
10648,鬼,高平,k,uei,535,上聲,
10648,鬼,陵川,k,uEi,213,上聲,
10648,鬼,朔州,k,uei,312,陰平上,
10648,鬼,代縣,k,uei,213,陰平上,
10648,鬼,五寨,k,uei,213,陰平上,
10648,鬼,五台,k,uei,214,陰平上,
10648,鬼,忻州,k,uei,313,陰平上,
10648,鬼,天鎮,k,uɛe,54,上聲,
10648,鬼,大同,k,uɛe,54,上聲,
10648,鬼,山陰,k,uei,52,上聲,
10648,鬼,平定,k,uei,53,上聲,
10648,鬼,和順,k,uei,35,上聲,
10648,鬼,晉城,k,uɛe,213,陽平上,印刷為13此地陽平上應為213。
10648,鬼,陽城,k,uæ,31,上聲,
10669,語,太原,0,y,53,上,
10679,禦,太原,0,y,45,去,
10681,呂,太原,l,y,53,上,
10683,旅,太原,l,y,53,上,
10703,與,太原,0,y,11,平,
10720,暑,太原,s,u,53,上,
10721,鼠,太原,s,u,53,上,
10722,黍,太原,s,u,53,上,
10726,處,太原,tsʰ,u,53,上,
10748,女,婁煩,ȵ,y,213,上聲,
10748,女,太原,n,y,53,上聲,
10748,女,清徐,n,y,53,上聲,
10748,女,文水,nz,ɥ,423,上聲,
10748,女,太谷,n,y,323,上聲,
10748,女,祁縣,n,yu,21,上聲,
10748,女,平遙,nz,ɥ,53,上聲,
10748,女,孝義,n/nz,y/u,313/312,上聲/上聲,文讀白讀。
10748,女,臨縣,n,y,312,上聲,
10748,女,離石,nz,u,312,上聲,
10748,女,汾陽,nz,ɥ,312,上聲,
10748,女,嵐縣,n/ȵ,u/y,213/213,上聲/上聲,白讀。文讀
10748,女,石樓,n/ʐ,y/u,413/413,上聲/上聲,文讀白讀。
10748,女,隰縣,n,y,31,上聲,
10748,女,汾西,0/n,v̩/y,33/33,上聲/上聲,白讀。文讀
10748,女,沁縣,n,ɥ,213,陰平上,
10748,女,平順,n,y,424,上聲,
10748,女,長治,n,y,535,上聲,
10748,女,長子,ȵ,y,324,上聲,
10748,女,高平,n,i,535,上聲,
10748,女,陵川,n,y,213,上聲,
10748,女,朔州,n,y,312,陰平上,
10748,女,代縣,n,y,213,陰平上,
10748,女,五寨,n,y,213,陰平上,印刷為21此地陰平上應為213。
10748,女,五台,n,y,214,陰平上,
10748,女,忻州,n,y,313,陰平上,
10748,女,天鎮,n,y,54,上聲,
10748,女,大同,n,y,54,上聲,
10748,女,山陰,n,y,52,上聲,
10748,女,平定,n,y,53,上聲,
10748,女,和順,n,y,35,上聲,
10748,女,晉城,n,ye,213,陽平上,
10748,女,陽城,n,y,31,上聲,
10750,許,太原,ɕ,y,53,上,
10752,巨,太原,tɕ,y,45,去,
10753,拒,太原,tɕ,y,45,去,
10755,距,太原,tɕ,y,45,去,
10770,所,太原,s,uɤ,53,上,
10777,楚,太原,tsʰ,u,53,上,
10778,礎,太原,tsʰ,u,53,上,
10785,阻,太原,ts,u,53,上,
10797,舉,太原,tɕ,y,53,上,
10807,敘,太原,ɕ,y,45,去,
10808,緒,太原,ɕ,y,45,去,
10810,序,太原,ɕ,y,45,去,
10818,去,太原,tɕʰ,y,45,去,
10835,羽,太原,0,y,53,上,
10837,雨,太原,0,y,53,上,
10850,聚,太原,tɕ,y,45,去,
10853,脯,太原,pʰ,u,11,平,
10854,斧,太原,f,u,53,上,
10856,俯,太原,f,u,53,上,
10857,府,太原,f,u,53,上,
10858,腑,太原,f,u,53,上,
10872,武,太原,0,u,53,上,
10873,舞,太原,0,u,53,上,
10896,父,太原,f,u,45,去,
10897,輔,太原,f,u,53,上,
10900,腐,太原,f,u,53,上,
10924,柱,太原,ts,u,45,去,
10939,豎,太原,s,u,45,去,
10941,樹,太原,s,u,45,去,樹立
10955,主,太原,ts,u,53,上,
10966,拄,太原,ts,u,53,上,
10970,乳,太原,z,u,53,上,
10975,數,太原,s,u,53,上,
10988,取,太原,tɕʰ,y,53,上,
10989,縷,太原,l,y,53,上,
11009,媽,太原,m,a,45/11,去/平,未註明異讀原因
11012,土,婁煩,tʰ,u,213,上聲,
11012,土,太原,tʰ,u,53,上聲,
11012,土,清徐,tʰ,u,53,上聲,
11012,土,文水,tʰ,u,423,上聲,
11012,土,太谷,tʰ,uo,323,上聲,
11012,土,祁縣,tʰ,u,21,上聲,
11012,土,平遙,tʰ,u,53,上聲,
11012,土,孝義,tʰ,u,312,上聲,
11012,土,臨縣,tʰ,u,312,上聲,
11012,土,離石,tʰ,u,312,上聲,
11012,土,汾陽,tʰ,əu,312,上聲,
11012,土,嵐縣,tʰ,u,213,上聲,
11012,土,石樓,tʰ,u,413,上聲,
11012,土,隰縣,tʰ,u,31,上聲,
11012,土,汾西,tʰ,β,55,陰去,
11012,土,沁縣,tʰ,u,213,陰平上,
11012,土,平順,tʰ,u,424,上聲,
11012,土,長治,tʰ,u,535,上聲,
11012,土,長子,tʰ,u,324,上聲,
11012,土,高平,tʰ,u,535,上聲,
11012,土,陵川,tʰ,u,213,上聲,
11012,土,朔州,tʰ,u,312,陰平上,
11012,土,代縣,tʰ,u,213,陰平上,
11012,土,五寨,tʰ,u,213,陰平上,
11012,土,五台,tʰ,u,214,陰平上,
11012,土,忻州,tʰ,u,313,陰平上,
11012,土,天鎮,tʰ,u,54,上聲,
11012,土,大同,tʰ,u,54,上聲,
11012,土,山陰,tʰ,u,52,上聲,
11012,土,平定,tʰ,u,53,上聲,
11012,土,和順,tʰ,u,35,上聲,
11012,土,晉城,tʰ,u,213,陽平上,
11012,土,陽城,tʰ,u,31,上聲,
11013,吐,太原,tʰ,u,53,上,吐痰
11016,杜,太原,t,u,45,去,
11021,肚,太原,t,u,53,上,
11025,魯,婁煩,l,əu,213,上聲,
11025,魯,太原,l,əu,45,去聲,
11025,魯,清徐,l,ɐɯ,53,上聲,
11025,魯,文水,l,ou,423,上聲,
11025,魯,太谷,l,uo,323,上聲,
11025,魯,祁縣,l,əu,21,上聲,
11025,魯,平遙,l,əu,53,上聲,
11025,魯,孝義,l,ou,312,上聲,
11025,魯,臨縣,l,əɯ,312,上聲,
11025,魯,離石,l,əu,312,上聲,
11025,魯,汾陽,l,ou,312,上聲,
11025,魯,嵐縣,l,ou,213,上聲,
11025,魯,石樓,l,əu,413,上聲,
11025,魯,隰縣,l,əu,31,上聲,
11025,魯,汾西,l,ou,22,陰平,
11025,魯,沁縣,l,əu,213,陰平上,
11025,魯,平順,l,u,424,上聲,
11025,魯,長治,l,u,535,上聲,
11025,魯,長子,l,u,324,上聲,
11025,魯,高平,l,u,535,上聲,
11025,魯,陵川,l,u,213,上聲,
11025,魯,朔州,l,əu,312,陰平上,
11025,魯,代縣,l,əu,213,陰平上,
11025,魯,五寨,l,əu,213,陰平上,
11025,魯,五台,l,əu,214,陰平上,
11025,魯,忻州,l,əu,313,陰平上,
11025,魯,天鎮,l,əu,54,上聲,
11025,魯,大同,l,əu,54,上聲,
11025,魯,山陰,l,əu,52,上聲,
11025,魯,平定,l,u,53,上聲,
11025,魯,和順,l,u,35,上聲,
