# 其他土話
id,富川(七都話)_聲母,富川(七都話)_韻母,富川(七都話)_調值,富川(七都話)_調類,富川(八都話)_聲母,富川(八都話)_韻母,富川(八都話)_調值,富川(八都話)_調類,鍾山(公安)_聲母,鍾山(公安)_韻母,鍾山(公安)_調值,鍾山(公安)_調類,賀州(九都話)_聲母,賀州(九都話)_韻母,賀州(九都話)_調值,賀州(九都話)_調類,湖南(道縣)_聲母,湖南(道縣)_韻母,湖南(道縣)_調值,湖南(道縣)_調類,江永城關(白水村)_聲母,江永城關(白水村)_韻母,江永城關(白水村)_調值,江永城關(白水村)_調類,豐陽_聲母,豐陽_韻母,豐陽_調值,豐陽_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,西岸_聲母,西岸_韻母,西岸_調值,西岸_調類,保安_聲母,保安_韻母,保安_調值,保安_調類,連州_聲母,連州_韻母,連州_調值,連州_調類
14869,tsʰ,ɿ,44,陰去,tsʰ,ɿ,22,陽上,tʰ,i,52,陰去,tsʰ,ɿ,55,陰上,tsʰ,a,33,陰去,,,,,tsʰ,ɿ,53,陰去,tsʰ,ɿ,53,陰去,tsʰ,ɿ,52,陰去,tsʰ,ɿ,53,陰去,tsʰ,i,11,陰去
14875,0,uɐi,35,陽去,0,uã,55,陽去,0,uai,21,陽去,0,ui,33,陽去,0,ua,31,陽平,,,,,v,ɛi,31,陽平,v,i,24,陽平,v,əi,24,陽平,v,ei,25,陽平,0,uAi,55,陽平
14892,p,ɐi,35,陽去,,,,,p,i,21,陽去,p,ɛ,33,陽去,p,a,52,陽去,,,,,p,ɛi,21,陽去,p,i,21,陽去,p,əi,22,陽去,p,ei,11,陽去,p,Ai,33,陽去
14897,,,,,l,a,55,陽去,,,,,l,ui,33,陽去,l,io,52,陽去,l,a,33,陽去,,,,,,,,,,,,,,,,,,,,
14898,k,i,44,陰去,ts,i,22,陽上,k,i,52,陰去,k,i,52,陰去,ts,i,33,陰去,tɕ,i,21,陰去,k,ɛi,53,陰去,k,i,53,陰去,k,əi,52,陰去,k,i,53,陰去,k,Ai,11,陰去
14901,p,i,35,陽去,p,ɐi,22,陽上,p,ɛ,52,陰去,p,ui,52,陰去,p,a,33,陰去,,,,,,,,,,,,,,,,,,,,,,,,
14910,tsʰ,i,44,陰去,l,əɯ,55,陽去,tʰ,i,52,陰去,tsʰ,ɛi,52,陰去,tsʰ,a,33,陰去,ɕ/l/tsʰ,ya/ɯ/ə,33/21,陽去/陰去,,,,,tsʰ,ɿ,53,陰去,tsʰ,ɿ,52,陰去,tsʰ,ɿ,53,陰去,tsʰ,i,11,陰去
14911,tsʰ,i,44,陰去,l,əɯ,55,陽去,tʰ,i,52,陰去,tsʰ,ɛi,52,陰去,tsʰ,a,33,陰去,,,,,,,,,tsʰ,ɿ,53,陰去,tsʰ,ɿ,52,陰去,tsʰ,ɿ,53,陰去,tsʰ,i,11,陰去
14920,0,i,35,陽去,0,i,55,陽去,0,i,23,陽平,0,i,33,陽去,0,i,52,陽去,0,i,33,陽去,0,i,21,陽去,0,iɛ,21,陽去,0,i,22,陽去,j,i,11,陽去,0,i,33,陽去
14927,0,i,35,陽去,0,i,55,陽去,ȵ,i,21,陽去,ŋ,i,33,陽去,ŋ,i,52,陽去,ȵ,i,21,陰去,n,u,55,上聲,ȵ,i,55,上聲,ŋ,i,55,上聲,ȵ,i,45,上聲,ȵ,i,53,陰上
