# 徽語
id,旌德(安徽省志)_聲母,旌德(安徽省志)_韻母,旌德(安徽省志)_調值,旌德(安徽省志)_調類,績溪(安徽省志)_聲母,績溪(安徽省志)_韻母,績溪(安徽省志)_調值,績溪(安徽省志)_調類,黃山(湯口)(安徽省志)_聲母,黃山(湯口)(安徽省志)_韻母,黃山(湯口)(安徽省志)_調值,黃山(湯口)(安徽省志)_調類,黟縣(安徽省志)_聲母,黟縣(安徽省志)_韻母,黟縣(安徽省志)_調值,黟縣(安徽省志)_調類,祁門(安徽省志)_聲母,祁門(安徽省志)_韻母,祁門(安徽省志)_調值,祁門(安徽省志)_調類,屯溪(安徽省志)_聲母,屯溪(安徽省志)_韻母,屯溪(安徽省志)_調值,屯溪(安徽省志)_調類
2069,0,ʮ,42,陽平,0,y,44,陽平,0,y,44,陽平,0,y,44,陽平,0,y,55,陽平,0,y,42,陰去
2118,tsʰ,ʮ,35,陰平,tɕʰ,y,31,陰平,tɬʰ,y,55,陰平,tʃʰ,yɛi,21,陰平,tsʰ,y,11,陰平,tsʰ,i,33,陰平
2125,tsʰ,u,42,陽平,s,u,44,陽平,tɬʰ,u,44,陽平,tsʰ,u,44,陽平,tɕʰ,y,55,陽平,tsʰ,ou,42,陰去
2126,tsʰ,u,42,陽平,s,u,44,陽平,tɬʰ,u,44,陽平,tsʰ,u,44,陽平,tɕʰ,y,55,陽平,tsʰ,ou,42,陰去
2152,tsʰ,ʮ,42,陽平,tɕʰ,y,44,陽平,tɬʰ,y,44,陽平,tʃʰ,yɛi,44,陽平,tsʰ,y,55,陽平,tsʰ,i,42,陰去
2161,ts,ʮ,35,陰平,tɕ,y,31,陰平,tɕ,y,55,陰平,ts,u,21,陰平,tɕ,y,11,陰平,tɕ,y,33,陰平
2162,ts,ʮ,35,陰平,tɕ,y,31,陰平,tɕ,y,55,陰平,ts,u,21,陰平,tɕ,y,11,陰平,tɕ,y,33,陰平
2163,ts,ʮ,35,陰平,tɕ,y,31,陰平,tɕ,y,55,陰平,ts,u,21,陰平,tɕ,y,11,陰平,tɕ,y,33,陰平
2191,tsʰ,ʮ,42,陽平,tɕʰ,y,44,陽平,tɕʰ,y,44,陽平,tsʰ,u,44,陽平,tɕʰ,y,55,陽平,tɕʰ,y,42,陰去
2204,0,ʮ,42,陽平,0,y,44,陽平,0,y,44,陽平,0,yɛi,44,陽平,0,y,55,陽平,0,y,42,陰去
2378,s,ʮ,35,陰平,ɕ,y,31,陰平,ɬ,y,55,陰平,ʃ,uɛi,21,陰平,s,y,11,陰平,s,i,33,陰平
2833,s,ʮ,35,陰平,s,u,31,陰平,ɬ,u,55,陰平,s,u,21,陰平,s,u,11,陰平,s,ou,33,陰平
2888,tsʰ,ʮ,35,陰平,tsʰ,u,31,陰平,tɬʰ,u,55,陰平,tsʰ,u,21,陰平,tsʰ,u,11,陰平,tsʰ,ou,33,陰平
2893,tsʰ,ʮ,35,陰平,tsʰ,u,31,陰平,tɬʰ,u,55,陰平,tsʰ,u,21,陰平,tsʰ,u,11,陰平,tsʰ,ou,33,陰平
2935,l,i,42,陽平,n,ɿ,44,陽平,l,i,44,陽平,l,ɛɐ̆,44,陽平,l,iɐ̆,55,陽平,l,i,42,陰去
2936,l,i,42,陽平,n,ɿ,44,陽平,l,i,44,陽平,l,ɛɐ̆,44,陽平,l,iɐ̆,55,陽平,l,i,42,陰去
2955,tsʰ,ɿ,35,陰平,tsʰ,ɿ,31,陰平,tɬʰ,i,55,陰平,tʃʰ,ɛɐ̆,21,陰平,tsʰ,iɐ̆,11,陰平,tsʰ,e,33,陰平
3066,tsʰ,ɿ,35,陰平,tsʰ,ɿ,31,陰平,tɕ,i,55,陰平,tʃ,ɛɐ̆,21,陰平,tɕ,iɐ̆,11,陰平,tɕ,ie,33,陰平
3067,tsʰ,ɿ,35,陰平,tsʰ,ɿ,31,陰平,tɕ,i,55,陰平,tʃ,ɛɐ̆,21,陰平,tɕ,iɐ̆,11,陰平,tɕ,ie,33,陰平
3146,tʰ,i,35,陰平,tʰ,æ,31,陰平,tʰ,i,55,陰平,tʰ,ɛɐ̆,21,陰平,tʰ,iɐ̆,11,陰平,tʰ,e,33,陰平
3191,ȵ,i,42,陽平,n,ɿ,44,陽平,n,i,44,陽平,n,ɛɐ̆,44,陽平,ȵ,iɐ̆,55,陽平,l,e,42,陰去
3192,ȵ,i,42,陽平,n,ɿ,44,陽平,n,i,44,陽平,n,ɛɐ̆,44,陽平,ȵ,iɐ̆,55,陽平,l,e,42,陰去
3264,k,a,35,陰平,k,ɔ,31,陰平,k,ɑ,55,陰平,k,ɑ,21,陰平,k,a,11,陰平,k,a,33,陰平
3268,x,a,42,陽平,x,ɔ,44,陽平,x,ɑ,44,陽平,x,ɑ,44,陽平,x,a,55,陽平,x,a,42,陰去
3269,x,a,42,陽平,x,ɔ,44,陽平,x,ɑ,44,陽平,x,ɑ,44,陽平,x,a,55,陽平,x,a,42,陰去
3273,pʰ,a,42,陽平,pʰ,ɔ,44,陽平,p,ɑ,44,陽平,p,ɑ,44,陽平,p,a,55,陽平,p,a,42,陰去
3295,s,a,42,陽平,ɕ,iɔ,44,陽平,ɬ,ɑ,44,陽平,ʃ,ɑ,44,陽平,tɕʰ,ia,55,陽平,s,a,42,陰去
3355,k,a,35,陰平,k,ɔ,31,陰平,k,ɑ,55,陰平,k,ɑ,21,陰平,k,a,11,陰平,k,a,33,陰平
3368,x,a,42,陽平,x,ɔ,44,陽平,x,ɑ,44,陽平,x,ɑ,44,陽平,x,a,55,陽平,x,a,42,陰去
3370,pʰ,a,42,陽平,pʰ,ɔ,44,陽平,pʰ,ɑ,44,陽平,pʰ,ɑ,44,陽平,pʰ,a,55,陽平,pʰ,a,42,陰去
3373,pʰ,a,42,陽平,pʰ,ɔ,44,陽平,p,ɑ,44,陽平,p,ɑ,44,陽平,p,a,55,陽平,p,a,42,陰去
3408,ts,a,35,陰平,ts,æ,31,陰平,tɬ,ɑ,55,陰平,tʃ,ɑ,21,陰平,tʂ,a,11,陰平,ts,a,33,陰平
3432,x,ua,35,陰平,x,uæ,31,陰平,x,uɐ,55,陰平,x,uɐɯ,21,陰平,x,ua,11,陰平,x,uə,33,陰平
3495,l,a,42,陽平,l,æ,44,陽平,l,ɐ,44,陽平,l,uɐɯ,44,陽平,l,yɐ̆,55,陽平,l,ə,42,陰去
3496,l,a,42,陽平,l,æ,44,陽平,l,ɐ,44,陽平,l,uɐɯ,44,陽平,l,yɐ̆,55,陽平,l,ə,42,陰去
3598,kʰ,a,35,陰平,kʰ,æ,31,陰平,kʰ,iɐ,55,陰平,kʰ,uɐɯ,21,陰平,kʰ,ua,11,陰平,kʰ,uə,33,陰平
3654,l,a,42,陽平,l,æ,44,陽平,l,ɐ,44,陽平,l,uɐɯ,44,陽平,l,a,55,陽平,l,ə,42,陰去
