# 晉語
id,太原_聲母,太原_韻母,太原_調值,太原_調類,婁煩_聲母,婁煩_韻母,婁煩_調值,婁煩_調類,清徐_聲母,清徐_韻母,清徐_調值,清徐_調類,文水_聲母,文水_韻母,文水_調值,文水_調類,太谷_聲母,太谷_韻母,太谷_調值,太谷_調類,祁縣_聲母,祁縣_韻母,祁縣_調值,祁縣_調類,平遙_聲母,平遙_韻母,平遙_調值,平遙_調類,孝義_聲母,孝義_韻母,孝義_調值,孝義_調類,臨縣_聲母,臨縣_韻母,臨縣_調值,臨縣_調類,離石_聲母,離石_韻母,離石_調值,離石_調類,汾陽_聲母,汾陽_韻母,汾陽_調值,汾陽_調類,嵐縣_聲母,嵐縣_韻母,嵐縣_調值,嵐縣_調類,石樓_聲母,石樓_韻母,石樓_調值,石樓_調類,隰縣_聲母,隰縣_韻母,隰縣_調值,隰縣_調類,汾西_聲母,汾西_韻母,汾西_調值,汾西_調類,沁縣_聲母,沁縣_韻母,沁縣_調值,沁縣_調類,平順_聲母,平順_韻母,平順_調值,平順_調類,長治_聲母,長治_韻母,長治_調值,長治_調類,長子_聲母,長子_韻母,長子_調值,長子_調類,高平_聲母,高平_韻母,高平_調值,高平_調類,陵川_聲母,陵川_韻母,陵川_調值,陵川_調類,朔州_聲母,朔州_韻母,朔州_調值,朔州_調類,代縣_聲母,代縣_韻母,代縣_調值,代縣_調類,五寨_聲母,五寨_韻母,五寨_調值,五寨_調類,五台_聲母,五台_韻母,五台_調值,五台_調類,忻州_聲母,忻州_韻母,忻州_調值,忻州_調類,天鎮_聲母,天鎮_韻母,天鎮_調值,天鎮_調類,大同_聲母,大同_韻母,大同_調值,大同_調類,山陰_聲母,山陰_韻母,山陰_調值,山陰_調類,平定_聲母,平定_韻母,平定_調值,平定_調類,和順_聲母,和順_韻母,和順_調值,和順_調類,晉城_聲母,晉城_韻母,晉城_調值,晉城_調類,陽城_聲母,陽城_韻母,陽城_調值,陽城_調類
259,x,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,x,uŋ,11,平聲,x,uə̃,22,平聲,x,uʌ̃,11,平聲,x,uəŋ,22,平聲,x,ũ,22,平聲,x,ũm,33,平聲,x,uŋ,13,平聲,x,uŋ,11,平聲,x,uəŋ,44,陽平,x,uəŋ,44,陽平,x,uəŋ,324,陰平,x,uəŋ,55,陽平,x,uŋ,44,陽平,x,uəŋ,24,陽平,x,uəŋ,35,陽平,x,uəŋ,33,陽平,x,uŋ,22,陽平,x,uŋ,24,陽平,x,uŋ,24,陽平,x,uəŋ,33,平聲,x,uŋ,53,陽平,x,uə̃,35,陽平,x,uəŋ,22,陽平,x,uə̃,44,陽平,x,uəŋ,33,陽平,x,uəŋ,31,陽平,h,uɤɣ,22,陽平,x,uəɣ,313,陽平,x,uə̃,313,平聲,x,uəŋ,44,陽平,x,uəŋ,22,陽平,x,uoŋ,213,陽平上,x,uə̃ŋ,13,陽平
263,tɕ/x,uŋ/iɒ̃,11/45,去/平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,x,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,tsʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,k/v,uŋ/əŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,tsʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,tsʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,tʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,pʰ,əŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,pʰ,əŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,x,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,t,uŋ,11,平聲,t,uə̃,22,平聲,t,uʌ̃,11,平聲,t,uəŋ,22,平聲,t,ũ,22,平聲,t,ũm,33,平聲,t,uŋ,13,平聲,t,uŋ,11,平聲,t,uəŋ,24,陰平,t,uəŋ,213,陰平,t,uəŋ,324,陰平,t,uəŋ,324,陰平,t,uŋ,214,陰平,t,uəŋ,41,陰平,t,uəŋ,22,陰平,t,uəŋ,213,陰平上,t,uŋ,313,陰平,t,uŋ,213,陰平,t,uŋ,213,陰平,t,uəŋ,33,平聲,t,uŋ,33,陰平,t,uə̃,312,陰平上,t,uəŋ,213,陰平上,t,uə̃,213,陰平上,t,uəŋ,214,陰平上,t,uəŋ,313,陰平上,t,uɤɣ,31,陰平,t,uəɣ,31,陰平,t,uə̃,313,平聲,t,uəŋ,313,陰平,t,uəŋ,31,陰平,t,uoŋ,33,陰平,t,uə̃n,11,陰平
396,ts,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,n,əŋ,11,平聲,n,ə̃,22,平聲,n,ʌ̃,11,平聲,n,əŋ,22,平聲,n,ə̃,22,平聲,n,ə̃,33,平聲,n,əŋ,13,平聲,n,uŋ,11,平聲,n,uəŋ,44,陽平,n/n,əŋ/uəŋ,44/44,陽平/陽平,n,uəŋ,22,陽平,n,əŋ,55,陽平,n,uŋ,44,陽平,n,uəŋ,24,陽平,n,əŋ,35,陽平,n,əŋ,213,陰平上,n,uŋ,22,陽平,n,uŋ,24,陽平,n,uŋ,24,陽平,n,uəŋ,33,平聲,n,uŋ,53,陽平,n,ə̃,35,陽平,n,əŋ,22,陽平,n,uə̃,44,陽平,n,əŋ,33,陽平,n,əŋ,31,陽平,l,uɤɣ,22,陽平,l,uɤɣ,313,陽平,n,uə̃,313,平聲,n,uəŋ,44,陽平,n,uəŋ,22,陽平,n,uoŋ,213,陽平上,n,uə̃ŋ,13,陽平
